resultId,season,round,driverId,constructorId,grid,position,positionText,points,laps,status,time,fastestLapTime,fastestLapRank,fastestLapSpeed
601,2025,7,norris,mclaren,4,2,2,18.00,63,Finished,+6.109,1:18.311,4,
602,2025,7,piastri,mclaren,1,3,3,15.00,63,Finished,+12.956,1:18.894,5,
603,2025,7,hamilton,ferrari,12,4,4,12.00,63,Finished,+14.356,1:18.265,2,
604,2025,7,albon,williams,7,5,5,10.00,63,Finished,+17.945,1:18.289,3,
605,2025,7,leclerc,ferrari,11,6,6,8.00,63,Finished,+20.774,1:19.048,6,
606,2025,7,russell,mercedes,3,7,7,6.00,63,Finished,+22.034,1:19.733,9,
607,2025,7,sainz,williams,6,8,8,4.00,63,Finished,+22.898,1:19.836,10,
608,2025,7,hadjar,rb,9,9,9,2.00,63,Finished,+23.586,1:19.473,7,
609,2025,7,tsunoda,red_bull,20,10,10,1.00,63,Finished,+26.446,1:20.039,12,
610,2025,7,alonso,aston_martin,5,11,11,0.00,63,Finished,+27.250,1:19.894,11,
611,2025,7,hulkenberg,sauber,17,12,12,0.00,63,Finished,+30.296,1:20.401,15,
612,2025,7,gasly,alpine,10,13,13,0.00,63,Finished,+31.424,1:20.398,14,
613,2025,7,lawson,rb,15,14,14,0.00,63,Finished,+32.511,1:20.473,16,
614,2025,7,stroll,aston_martin,8,15,15,0.00,63,Finished,+32.993,1:20.501,17,
615,2025,7,colapinto,alpine,16,16,16,0.00,63,Finished,+33.411,1:20.345,13,
616,2025,7,bearman,haas,19,17,17,0.00,63,Finished,+33.808,1:19.521,8,
617,2025,7,bortoleto,sauber,14,18,18,0.00,63,Finished,+38.572,1:20.630,19,
618,2025,7,antonelli,mercedes,13,19,R,0.00,44,Retired,,1:20.620,18,
619,2025,7,ocon,haas,18,20,R,0.00,27,Retired,,1:21.413,20,
620,2025,8,norris,mclaren,1,1,1,25.00,78,Finished,1:40:33.843,1:13.221,1,
621,2025,8,leclerc,ferrari,2,2,2,18.00,78,Finished,+3.131,1:14.055,6,
622,2025,8,piastri,mclaren,3,3,3,15.00,78,Finished,+3.658,1:13.745,4,
623,2025,8,max_verstappen,red_bull,4,4,4,12.00,78,Finished,+20.572,1:14.230,8,
624,2025,8,hamilton,ferrari,7,5,5,10.00,78,Finished,+51.387,1:14.090,7,
625,2025,8,hadjar,rb,5,6,6,8.00,77,Lapped,+1:05.082,1:15.981,19,
